Model,Category,JD_Num,K,P@K,NDCG@K,Accuracy
TF-IDF,DIGITAL-MEDIA,6,10,0.6,0.5404673768993046,60.0
TF-IDF,DIGITAL-MEDIA,7,5,0.6,0.4468535299918563,60.0
TF-IDF,DIGITAL-MEDIA,7,10,0.7,0.5774250016294136,70.0
TF-IDF,DIGITAL-MEDIA,8,5,0.8,0.830419897363192,80.0
TF-IDF,DIGITAL-MEDIA,8,10,0.9,0.8899541168509599,90.0
TF-IDF,DIGITAL-MEDIA,9,5,0.4,0.34519134224686937,40.0
TF-IDF,DIGITAL-MEDIA,9,10,0.3,0.2934367834519528,30.0
TF-IDF,CONSULTANT,1,5,0.2,0.3391602052736161,20.0
TF-IDF,CONSULTANT,1,10,0.2,0.2984900352767555,20.0
TF-IDF,CONSULTANT,2,5,0.0,0.0,0.0
TF-IDF,CONSULTANT,2,10,0.1,0.06943122193677727,10.0
TF-IDF,CONSULTANT,3,5,0.4,0.5531464700081437,40.0
TF-IDF,CONSULTANT,3,10,0.2,0.3589542101716347,20.0
TF-IDF,CONSULTANT,4,5,0.2,0.21398626473452756,20.0
TF-IDF,CONSULTANT,4,10,0.1,0.13886244387355454,10.0
TF-IDF,CONSULTANT,5,5,0.2,0.3391602052736161,20.0
TF-IDF,CONSULTANT,5,10,0.3,0.3531437764338092,30.0
TF-IDF,CONSULTANT,6,5,0.2,0.3391602052736161,20.0
TF-IDF,CONSULTANT,6,10,0.2,0.2934556883974402,20.0
TF-IDF,CONSULTANT,7,5,0.2,0.16958010263680806,20.0
TF-IDF,CONSULTANT,7,10,0.2,0.18340980524840012,20.0
TF-IDF,CONSULTANT,8,5,0.0,0.0,0.0
TF-IDF,CONSULTANT,8,10,0.0,0.0,0.0
TF-IDF,CONSULTANT,9,5,0.2,0.21398626473452756,20.0
TF-IDF,CONSULTANT,9,10,0.1,0.13886244387355454,10.0
TF-IDF,TEACHER,1,5,1.0,1.0,100.0
TF-IDF,TEACHER,1,10,0.8,0.8572048559638628,80.0
TF-IDF,TEACHER,2,5,0.8,0.8539316501572937,80.0
TF-IDF,TEACHER,2,10,0.8,0.8389574121760602,80.0
TF-IDF,TEACHER,3,5,0.2,0.3391602052736161,20.0
TF-IDF,TEACHER,3,10,0.5,0.5049059675118446,50.0
TF-IDF,ADVOCATE,1,5,0.2,0.21398626473452756,20.0
TF-IDF,ADVOCATE,1,10,0.2,0.2082936658103318,20.0
TF-IDF,ADVOCATE,2,5,0.4,0.48522855511632257,40.0
TF-IDF,ADVOCATE,2,10,0.2,0.31488013066763093,20.0
TF-IDF,ADVOCATE,3,5,0.4,0.3156484524795145,40.0
TF-IDF,ADVOCATE,3,10,0.4,0.34948673995165525,40.0
TF-IDF,ADVOCATE,4,5,0.0,0.0,0.0
TF-IDF,ADVOCATE,4,10,0.0,0.0,0.0
TF-IDF,ADVOCATE,5,5,0.4,0.38356636737133565,40.0
TF-IDF,ADVOCATE,5,10,0.2,0.2489083270225946,20.0
TF-IDF,ADVOCATE,6,5,0.0,0.0,0.0
TF-IDF,ADVOCATE,6,10,0.1,0.06943122193677727,10.0
TF-IDF,ADVOCATE,7,5,0.4,0.5531464700081437,40.0
TF-IDF,ADVOCATE,7,10,0.2,0.3589542101716347,20.0
TF-IDF,ADVOCATE,8,5,0.4,0.5087403079104241,40.0
TF-IDF,ADVOCATE,8,10,0.3,0.39375843764607193,30.0
TF-IDF,ADVOCATE,9,5,0.4,0.5087403079104241,40.0
TF-IDF,ADVOCATE,9,10,0.2,0.33013764944712026,20.0
TF-IDF,ADVOCATE,10,5,0.2,0.13120507751234178,20.0
TF-IDF,ADVOCATE,10,10,0.4,0.284449351231739,40.0
TF-IDF,ARTS,1,5,0.8,0.8687949224876582,80.0
TF-IDF,ARTS,1,10,0.7,0.77523873680463,70.0
TF-IDF,ARTS,2,5,0.0,0.0,0.0
TF-IDF,ARTS,2,10,0.0,0.0,0.0
TF-IDF,ARTS,3,5,0.0,0.0,0.0
TF-IDF,ARTS,3,10,0.1,0.06943122193677727,10.0
TF-IDF,BUSINESS-DEVELOPMENT,1,5,0.8,0.8687949224876582,80.0
TF-IDF,BUSINESS-DEVELOPMENT,1,10,0.8,0.8454256604216017,80.0
TF-IDF,BUSINESS-DEVELOPMENT,2,5,0.6,0.6164336326286644,60.0
TF-IDF,BUSINESS-DEVELOPMENT,2,10,0.6,0.6032621820619528,60.0
TF-IDF,BUSINESS-DEVELOPMENT,3,5,0.2,0.14606834984270645,20.0
TF-IDF,BUSINESS-DEVELOPMENT,3,10,0.3,0.22466337602289155,30.0
TF-IDF,AGRICULTURE,1,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,1,10,0.1,0.06625422345438903,10.0
TF-IDF,AGRICULTURE,2,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,2,10,0.0,0.0,0.0
TF-IDF,AGRICULTURE,3,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,3,10,0.0,0.0,0.0
TF-IDF,AGRICULTURE,4,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,4,10,0.0,0.0,0.0
TF-IDF,AGRICULTURE,5,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,5,10,0.0,0.0,0.0
TF-IDF,AGRICULTURE,6,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,6,10,0.0,0.0,0.0
TF-IDF,AGRICULTURE,7,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,7,10,0.0,0.0,0.0
TF-IDF,AGRICULTURE,8,5,0.0,0.0,0.0
TF-IDF,AGRICULTURE,8,10,0.1,0.06362078819895171,10.0
TF-IDF,APPAREL,1,5,0.0,0.0,0.0
TF-IDF,APPAREL,1,10,0.2,0.14201905717762703,20.0
TF-IDF,APPAREL,2,5,0.0,0.0,0.0
TF-IDF,APPAREL,2,10,0.3,0.199306233590118,30.0
TF-IDF,APPAREL,3,5,0.0,0.0,0.0
TF-IDF,APPAREL,3,10,0.2,0.13305201013572898,20.0
TF-IDF,APPAREL,4,5,0.2,0.3391602052736161,20.0
TF-IDF,APPAREL,4,10,0.2,0.2863459897524692,20.0
TF-IDF,APPAREL,5,5,0.0,0.0,0.0
TF-IDF,APPAREL,5,10,0.2,0.13305201013572898,20.0
TF-IDF,APPAREL,6,5,0.0,0.0,0.0
TF-IDF,APPAREL,6,10,0.0,0.0,0.0
TF-IDF,APPAREL,7,5,0.0,0.0,0.0
TF-IDF,APPAREL,7,10,0.1,0.06362078819895171,10.0
TF-IDF,APPAREL,8,5,0.4,0.27727342735504823,40.0
TF-IDF,APPAREL,8,10,0.3,0.2583297509898471,30.0
TF-IDF,CONSTRUCTION,1,5,0.0,0.0,0.0
TF-IDF,CONSTRUCTION,1,10,0.0,0.0,0.0
TF-IDF,CONSTRUCTION,2,5,1.0,1.0,100.0
TF-IDF,CONSTRUCTION,2,10,1.0,1.0,100.0
TF-IDF,CONSTRUCTION,3,5,0.2,0.21398626473452756,20.0
TF-IDF,CONSTRUCTION,3,10,0.2,0.2051166673279436,20.0
TF-IDF,PUBLIC-RELATIONS,1,5,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,1,10,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,2,5,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,2,10,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,3,5,0.2,0.13120507751234178,20.0
TF-IDF,PUBLIC-RELATIONS,3,10,0.2,0.1635413866202963,20.0
TF-IDF,PUBLIC-RELATIONS,4,5,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,4,10,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,5,5,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,5,10,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,6,5,0.2,0.14606834984270645,20.0
TF-IDF,PUBLIC-RELATIONS,6,10,0.2,0.1731866333482261,20.0
TF-IDF,PUBLIC-RELATIONS,7,5,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,7,10,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,8,5,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,8,10,0.0,0.0,0.0
TF-IDF,PUBLIC-RELATIONS,9,5,0.4,0.3156484524795145,40.0
TF-IDF,PUBLIC-RELATIONS,9,10,0.5,0.42021722679557794,50.0
TF-IDF,BPO,1,5,0.0,0.0,0.0
TF-IDF,BPO,1,10,0.0,0.0,0.0
TF-IDF,BPO,2,5,0.2,0.3391602052736161,20.0
TF-IDF,BPO,2,10,0.1,0.22009176629808017,10.0
TF-IDF,BPO,3,5,0.0,0.0,0.0
TF-IDF,BPO,3,10,0.0,0.0,0.0
TF-IDF,BPO,4,5,0.0,0.0,0.0
TF-IDF,BPO,4,10,0.0,0.0,0.0
TF-IDF,BPO,5,5,0.0,0.0,0.0
TF-IDF,BPO,5,10,0.0,0.0,0.0
TF-IDF,BPO,6,5,0.0,0.0,0.0
TF-IDF,BPO,6,10,0.0,0.0,0.0
SBERT,HR,1,5,1.0,1.0,100.0
SBERT,HR,1,10,0.8,0.866947989864271,80.0
SBERT,HR,2,5,0.4,0.38356636737133565,40.0
SBERT,HR,2,10,0.5,0.4642913062995817,50.0
SBERT,HR,3,5,1.0,1.0,100.0
SBERT,HR,3,10,1.0,1.0,100.0
SBERT,HR,4,5,0.8,0.8687949224876582,80.0
SBERT,HR,4,10,0.9,0.914856882358379,90.0
SBERT,HR,5,5,1.0,1.0,100.0
SBERT,HR,5,10,1.0,1.0,100.0
SBERT,HR,6,5,0.8,0.6608397947263839,80.0
SBERT,HR,6,10,0.8,0.7136540102475308,80.0
SBERT,HR,7,5,1.0,1.0,100.0
SBERT,HR,7,10,1.0,1.0,100.0
SBERT,HR,8,5,1.0,1.0,100.0
SBERT,HR,8,10,0.9,0.9305687780632227,90.0
SBERT,HR,9,5,1.0,1.0,100.0
SBERT,HR,9,10,0.8,0.8643145546088337,80.0
SBERT,INFORMATION-TECHNOLOGY,1,5,0.4,0.48522855511632257,40.0
SBERT,INFORMATION-TECHNOLOGY,1,10,0.6,0.6023277671368327,60.0
SBERT,INFORMATION-TECHNOLOGY,2,5,0.8,0.830419897363192,80.0
SBERT,INFORMATION-TECHNOLOGY,2,10,0.7,0.7600791051976192,70.0
SBERT,INFORMATION-TECHNOLOGY,3,5,0.6,0.6164336326286644,60.0
SBERT,INFORMATION-TECHNOLOGY,3,10,0.4,0.46945447024602915,40.0
SBERT,INFORMATION-TECHNOLOGY,4,5,0.8,0.830419897363192,80.0
SBERT,INFORMATION-TECHNOLOGY,4,10,0.9,0.8899541168509599,90.0
SBERT,INFORMATION-TECHNOLOGY,5,5,0.8,0.6608397947263839,80.0
SBERT,INFORMATION-TECHNOLOGY,5,10,0.8,0.7104770117651426,80.0
SBERT,INFORMATION-TECHNOLOGY,6,5,0.2,0.3391602052736161,20.0
SBERT,INFORMATION-TECHNOLOGY,6,10,0.1,0.22009176629808017,10.0
SBERT,INFORMATION-TECHNOLOGY,7,5,0.6,0.7227265726449519,60.0
SBERT,INFORMATION-TECHNOLOGY,7,10,0.5,0.6086182388744239,50.0
SBERT,INFORMATION-TECHNOLOGY,8,5,0.8,0.7860137352654724,80.0
SBERT,INFORMATION-TECHNOLOGY,8,10,0.8,0.7877736340270854,80.0
SBERT,INFORMATION-TECHNOLOGY,9,5,0.6,0.7227265726449519,60.0
SBERT,INFORMATION-TECHNOLOGY,9,10,0.6,0.6683063269107928,60.0
SBERT,INFORMATION-TECHNOLOGY,10,5,0.8,0.8539316501572937,80.0
SBERT,INFORMATION-TECHNOLOGY,10,10,0.7,0.7695261902392829,70.0
SBERT,DESIGNER,1,5,0.8,0.8687949224876582,80.0
SBERT,DESIGNER,1,10,0.7,0.77523873680463,70.0
SBERT,DESIGNER,2,5,0.6,0.6548086577531307,60.0
SBERT,DESIGNER,2,10,0.5,0.5669450709942981,50.0
SBERT,DESIGNER,3,5,0.6,0.4912596920895758,60.0
SBERT,DESIGNER,3,10,0.6,0.5341769051617135,60.0
SBERT,DESIGNER,4,5,0.8,0.8539316501572937,80.0
SBERT,DESIGNER,4,10,0.8,0.8415908474314976,80.0
SBERT,DESIGNER,5,5,0.8,0.830419897363192,80.0
SBERT,DESIGNER,5,10,0.8,0.8205228949141826,80.0
SBERT,DESIGNER,6,5,0.8,0.830419897363192,80.0
SBERT,DESIGNER,6,10,0.6,0.6745711375739728,60.0
SBERT,DESIGNER,7,5,1.0,1.0,100.0
SBERT,DESIGNER,7,10,1.0,1.0,100.0
SBERT,DESIGNER,8,5,0.0,0.0,0.0
SBERT,DESIGNER,8,10,0.2,0.1478294909154526,20.0
SBERT,DESIGNER,9,5,1.0,1.0,100.0
SBERT,DESIGNER,9,10,1.0,1.0,100.0
SBERT,SALES,1,5,0.2,0.16958010263680806,20.0
SBERT,SALES,1,10,0.3,0.2520649403266671,30.0
SBERT,SALES,2,5,0.8,0.830419897363192,80.0
SBERT,SALES,2,10,0.9,0.8899541168509599,90.0
SBERT,SALES,3,5,0.8,0.8539316501572937,80.0
SBERT,SALES,3,10,0.9,0.9052116356304493,90.0
SBERT,SALES,4,5,0.8,0.8687949224876582,80.0
SBERT,SALES,4,10,0.5,0.6332196796270029,50.0
SBERT,SALES,5,5,0.8,0.830419897363192,80.0
SBERT,SALES,5,10,0.6,0.6785038377365556,60.0
SBERT,SALES,6,5,0.0,0.0,0.0
SBERT,SALES,6,10,0.0,0.0,0.0
SBERT,SALES,7,5,0.2,0.21398626473452756,20.0
SBERT,SALES,7,10,0.1,0.13886244387355454,10.0
SBERT,SALES,8,5,1.0,1.0,100.0
SBERT,SALES,8,10,0.9,0.933745776545611,90.0
SBERT,SALES,9,5,0.6,0.7227265726449519,60.0
SBERT,SALES,9,10,0.8,0.8200685179888283,80.0
SBERT,FINANCE,1,5,0.0,0.0,0.0
SBERT,FINANCE,1,10,0.2,0.14279514403613733,20.0
SBERT,FINANCE,2,5,0.2,0.21398626473452756,20.0
SBERT,FINANCE,2,10,0.3,0.2687374555268953,30.0
SBERT,FINANCE,3,5,0.4,0.3156484524795145,40.0
SBERT,FINANCE,3,10,0.6,0.4825387500873843,60.0
SBERT,FINANCE,4,5,0.8,0.8539316501572937,80.0
SBERT,FINANCE,4,10,0.8,0.826813366651774,80.0
SBERT,FINANCE,5,5,0.6,0.7227265726449519,60.0
SBERT,FINANCE,5,10,0.7,0.741670249010153,70.0
SBERT,FINANCE,6,5,0.6,0.6843515475204855,60.0
SBERT,FINANCE,6,10,0.7,0.7167674835027339,70.0
SBERT,FINANCE,7,5,0.0,0.0,0.0
SBERT,FINANCE,7,10,0.1,0.07839826897867533,10.0
SBERT,FINANCE,8,5,0.2,0.3391602052736161,20.0
SBERT,FINANCE,8,10,0.2,0.2934556883974402,20.0
SBERT,FINANCE,9,5,0.6,0.639945385422766,60.0
SBERT,FINANCE,9,10,0.6,0.6145870006788592,60.0
SBERT,FINANCE,10,5,0.8,0.6608397947263839,80.0
SBERT,FINANCE,10,10,0.6,0.5708588662113935,60.0
SBERT,BANKING,1,5,0.4,0.27727342735504823,40.0
SBERT,BANKING,1,10,0.2,0.17993148201117176,20.0
SBERT,BANKING,2,5,0.2,0.13120507751234178,20.0
SBERT,BANKING,2,10,0.4,0.29155904987671,40.0
SBERT,BANKING,3,5,0.4,0.5531464700081437,40.0
SBERT,BANKING,3,10,0.3,0.42838543210841196,30.0
SBERT,HEALTHCARE,1,5,0.6,0.5147714448836774,60.0
SBERT,HEALTHCARE,1,10,0.4,0.40348266660099286,40.0
SBERT,HEALTHCARE,2,5,0.4,0.3156484524795145,40.0
SBERT,HEALTHCARE,2,10,0.3,0.2684550357175426,30.0
SBERT,HEALTHCARE,3,5,0.4,0.38356636737133565,40.0
SBERT,HEALTHCARE,3,10,0.4,0.3787833386759354,40.0
SBERT,ENGINEERING,1,5,0.4,0.5531464700081437,40.0
SBERT,ENGINEERING,1,10,0.6,0.6405914129030109,60.0
SBERT,ENGINEERING,2,5,0.4,0.38356636737133565,40.0
SBERT,ENGINEERING,2,10,0.4,0.39092738420022166,40.0
SBERT,ENGINEERING,3,5,0.8,0.6608397947263839,80.0
SBERT,ENGINEERING,3,10,0.8,0.7015099647232446,80.0
SBERT,ENGINEERING,4,5,0.8,0.830419897363192,80.0
SBERT,ENGINEERING,4,10,0.7,0.7453016244178956,70.0
SBERT,ENGINEERING,5,5,0.8,0.8687949224876582,80.0
SBERT,ENGINEERING,5,10,0.8,0.841492960259019,80.0
SBERT,ENGINEERING,6,5,1.0,1.0,100.0
SBERT,ENGINEERING,6,10,0.9,0.9305687780632227,90.0
SBERT,ENGINEERING,7,5,0.0,0.0,0.0
SBERT,ENGINEERING,7,10,0.2,0.13698471029831175,20.0
SBERT,ENGINEERING,8,5,1.0,1.0,100.0
SBERT,ENGINEERING,8,10,0.7,0.7819835854675755,70.0
SBERT,ENGINEERING,9,5,1.0,1.0,100.0
SBERT,ENGINEERING,9,10,0.8,0.8630152897016883,80.0
SBERT,ENGINEERING,10,5,1.0,1.0,100.0
SBERT,ENGINEERING,10,10,1.0,1.0,100.0
SBERT,ACCOUNTANT,1,5,1.0,1.0,100.0
SBERT,ACCOUNTANT,1,10,0.9,0.9305687780632227,90.0
SBERT,ACCOUNTANT,2,5,0.8,0.8539316501572937,80.0
SBERT,ACCOUNTANT,2,10,0.7,0.7655934900767002,70.0
SBERT,ACCOUNTANT,3,5,0.4,0.30078518014914984,40.0
SBERT,ACCOUNTANT,3,10,0.5,0.39842793454336184,50.0
SBERT,DIGITAL-MEDIA,1,5,0.4,0.5531464700081437,40.0
SBERT,DIGITAL-MEDIA,1,10,0.6,0.6437684113853992,60.0
SBERT,DIGITAL-MEDIA,2,5,1.0,1.0,100.0
SBERT,DIGITAL-MEDIA,2,10,0.5,0.6489315753318465,50.0
SBERT,DIGITAL-MEDIA,3,5,0.8,0.830419897363192,80.0
SBERT,DIGITAL-MEDIA,3,10,0.7,0.7421246259355073,70.0
SBERT,DIGITAL-MEDIA,4,5,0.4,0.27727342735504823,40.0
SBERT,DIGITAL-MEDIA,4,10,0.2,0.17993148201117176,20.0
SBERT,DIGITAL-MEDIA,5,5,0.6,0.639945385422766,60.0
SBERT,DIGITAL-MEDIA,5,10,0.4,0.4936790360674166,40.0
SBERT,DIGITAL-MEDIA,6,5,0.4,0.34519134224686937,40.0
SBERT,DIGITAL-MEDIA,6,10,0.5,0.43808927588501717,50.0
SBERT,DIGITAL-MEDIA,7,5,0.6,0.6548086577531307,60.0
SBERT,DIGITAL-MEDIA,7,10,0.6,0.6339753813071974,60.0
SBERT,DIGITAL-MEDIA,8,5,0.6,0.6843515475204855,60.0
SBERT,DIGITAL-MEDIA,8,10,0.4,0.5174612499126158,40.0
SBERT,DIGITAL-MEDIA,9,5,0.2,0.13120507751234178,20.0
SBERT,DIGITAL-MEDIA,9,10,0.3,0.21501812929496175,30.0
SBERT,CONSULTANT,1,5,0.0,0.0,0.0
SBERT,CONSULTANT,1,10,0.0,0.0,0.0
SBERT,CONSULTANT,2,5,0.0,0.0,0.0
SBERT,CONSULTANT,2,10,0.0,0.0,0.0
SBERT,CONSULTANT,3,5,0.0,0.0,0.0
SBERT,CONSULTANT,3,10,0.4,0.2726701556894781,40.0
SBERT,CONSULTANT,4,5,0.0,0.0,0.0
SBERT,CONSULTANT,4,10,0.0,0.0,0.0
SBERT,CONSULTANT,5,5,0.0,0.0,0.0
SBERT,CONSULTANT,5,10,0.0,0.0,0.0
SBERT,CONSULTANT,6,5,0.4,0.3156484524795145,40.0
SBERT,CONSULTANT,6,10,0.2,0.20483424751859086,20.0
SBERT,CONSULTANT,7,5,0.2,0.16958010263680806,20.0
SBERT,CONSULTANT,7,10,0.1,0.11004588314904008,10.0
SBERT,CONSULTANT,8,5,0.0,0.0,0.0
SBERT,CONSULTANT,8,10,0.0,0.0,0.0
SBERT,CONSULTANT,9,5,0.0,0.0,0.0
SBERT,CONSULTANT,9,10,0.1,0.06362078819895171,10.0
SBERT,TEACHER,1,5,0.8,0.830419897363192,80.0
SBERT,TEACHER,1,10,0.9,0.8899541168509599,90.0
SBERT,TEACHER,2,5,0.8,0.830419897363192,80.0
SBERT,TEACHER,2,10,0.9,0.8899541168509599,90.0
SBERT,TEACHER,3,5,0.8,0.8539316501572937,80.0
SBERT,TEACHER,3,10,0.8,0.8415908474314976,80.0
SBERT,ADVOCATE,1,5,0.0,0.0,0.0
SBERT,ADVOCATE,1,10,0.2,0.14201905717762703,20.0
SBERT,ADVOCATE,2,5,0.2,0.16958010263680806,20.0
SBERT,ADVOCATE,2,10,0.1,0.11004588314904008,10.0
SBERT,ADVOCATE,3,5,0.2,0.13120507751234178,20.0
SBERT,ADVOCATE,3,10,0.3,0.22716217481924803,30.0
SBERT,ADVOCATE,4,5,0.2,0.3391602052736161,20.0
SBERT,ADVOCATE,4,10,0.1,0.22009176629808017,10.0
SBERT,ADVOCATE,5,5,0.2,0.14606834984270645,20.0
SBERT,ADVOCATE,5,10,0.2,0.1731866333482261,20.0
SBERT,ADVOCATE,6,5,0.2,0.14606834984270645,20.0
SBERT,ADVOCATE,6,10,0.1,0.09478836436955078,10.0
SBERT,ADVOCATE,7,5,0.2,0.21398626473452756,20.0
SBERT,ADVOCATE,7,10,0.1,0.13886244387355454,10.0
SBERT,ADVOCATE,8,5,0.2,0.16958010263680806,20.0
SBERT,ADVOCATE,8,10,0.1,0.11004588314904008,10.0
SBERT,ADVOCATE,9,5,0.2,0.16958010263680806,20.0
SBERT,ADVOCATE,9,10,0.1,0.11004588314904008,10.0
SBERT,ADVOCATE,10,5,0.2,0.13120507751234178,20.0
SBERT,ADVOCATE,10,10,0.2,0.1635413866202963,20.0
SBERT,ARTS,1,5,0.6,0.5296347172140421,60.0
SBERT,ARTS,1,10,0.4,0.4170606134915054,40.0
SBERT,ARTS,2,5,0.0,0.0,0.0
SBERT,ARTS,2,10,0.0,0.0,0.0
SBERT,ARTS,3,5,0.2,0.3391602052736161,20.0
SBERT,ARTS,3,10,0.1,0.22009176629808017,10.0
SBERT,BUSINESS-DEVELOPMENT,1,5,0.6,0.5296347172140421,60.0
SBERT,BUSINESS-DEVELOPMENT,1,10,0.7,0.6285108926059098,70.0
SBERT,BUSINESS-DEVELOPMENT,2,5,0.6,0.639945385422766,60.0
SBERT,BUSINESS-DEVELOPMENT,2,10,0.5,0.5670429581667766,50.0
SBERT,BUSINESS-DEVELOPMENT,3,5,0.6,0.7227265726449519,60.0
SBERT,BUSINESS-DEVELOPMENT,3,10,0.3,0.4690000933206748,30.0
SBERT,AGRICULTURE,1,5,0.0,0.0,0.0
SBERT,AGRICULTURE,1,10,0.1,0.07336392209936005,10.0
SBERT,AGRICULTURE,2,5,0.0,0.0,0.0
SBERT,AGRICULTURE,2,10,0.0,0.0,0.0
SBERT,AGRICULTURE,3,5,0.0,0.0,0.0
SBERT,AGRICULTURE,3,10,0.0,0.0,0.0
SBERT,AGRICULTURE,4,5,0.0,0.0,0.0
SBERT,AGRICULTURE,4,10,0.1,0.07839826897867533,10.0
SBERT,AGRICULTURE,5,5,0.0,0.0,0.0
SBERT,AGRICULTURE,5,10,0.0,0.0,0.0
SBERT,AGRICULTURE,6,5,0.0,0.0,0.0
SBERT,AGRICULTURE,6,10,0.0,0.0,0.0
SBERT,AGRICULTURE,7,5,0.0,0.0,0.0
SBERT,AGRICULTURE,7,10,0.0,0.0,0.0
SBERT,AGRICULTURE,8,5,0.0,0.0,0.0
SBERT,AGRICULTURE,8,10,0.0,0.0,0.0
SBERT,APPAREL,1,5,0.2,0.14606834984270645,20.0
SBERT,APPAREL,1,10,0.2,0.1731866333482261,20.0
SBERT,APPAREL,2,5,0.2,0.21398626473452756,20.0
SBERT,APPAREL,2,10,0.1,0.13886244387355454,10.0
SBERT,APPAREL,3,5,0.0,0.0,0.0
SBERT,APPAREL,3,10,0.1,0.06625422345438903,10.0
SBERT,APPAREL,4,5,0.2,0.16958010263680806,20.0
SBERT,APPAREL,4,10,0.1,0.11004588314904008,10.0
SBERT,APPAREL,5,5,0.2,0.14606834984270645,20.0
SBERT,APPAREL,5,10,0.3,0.24655055544758614,30.0
SBERT,APPAREL,6,5,0.0,0.0,0.0
SBERT,APPAREL,6,10,0.0,0.0,0.0
SBERT,APPAREL,7,5,0.0,0.0,0.0
SBERT,APPAREL,7,10,0.4,0.2816372027313761,40.0
SBERT,APPAREL,8,5,0.2,0.3391602052736161,20.0
SBERT,APPAREL,8,10,0.2,0.28952298823485745,20.0
SBERT,CONSTRUCTION,1,5,0.0,0.0,0.0
SBERT,CONSTRUCTION,1,10,0.0,0.0,0.0
SBERT,CONSTRUCTION,2,5,0.8,0.8687949224876582,80.0
SBERT,CONSTRUCTION,2,10,0.9,0.914856882358379,90.0
SBERT,CONSTRUCTION,3,5,0.6,0.6548086577531307,60.0
SBERT,CONSTRUCTION,3,10,0.6,0.6390097281865127,60.0
SBERT,PUBLIC-RELATIONS,1,5,0.4,0.4703652827859579,40.0
SBERT,PUBLIC-RELATIONS,1,10,0.4,0.4422195942380129,40.0
SBERT,PUBLIC-RELATIONS,2,5,0.4,0.4703652827859579,40.0
SBERT,PUBLIC-RELATIONS,2,10,0.5,0.5264282969545138,50.0
SBERT,PUBLIC-RELATIONS,3,5,0.0,0.0,0.0
SBERT,PUBLIC-RELATIONS,3,10,0.2,0.1478294909154526,20.0
SBERT,PUBLIC-RELATIONS,4,5,0.8,0.8687949224876582,80.0
SBERT,PUBLIC-RELATIONS,4,10,0.6,0.715550648768261,60.0
SBERT,PUBLIC-RELATIONS,5,5,0.4,0.34519134224686937,40.0
SBERT,PUBLIC-RELATIONS,5,10,0.2,0.22400556151517553,20.0
SBERT,PUBLIC-RELATIONS,6,5,0.4,0.3156484524795145,40.0
SBERT,PUBLIC-RELATIONS,6,10,0.4,0.34181895781690264,40.0
SBERT,PUBLIC-RELATIONS,7,5,0.4,0.4703652827859579,40.0
SBERT,PUBLIC-RELATIONS,7,10,0.3,0.3714891073940902,30.0
SBERT,PUBLIC-RELATIONS,8,5,0.0,0.0,0.0
SBERT,PUBLIC-RELATIONS,8,10,0.0,0.0,0.0
SBERT,PUBLIC-RELATIONS,9,5,0.4,0.5087403079104241,40.0
SBERT,PUBLIC-RELATIONS,9,10,0.4,0.4818998405251556,40.0
SBERT,BPO,1,5,0.0,0.0,0.0
SBERT,BPO,1,10,0.0,0.0,0.0
SBERT,BPO,2,5,0.0,0.0,0.0
SBERT,BPO,2,10,0.0,0.0,0.0
SBERT,BPO,3,5,0.0,0.0,0.0
SBERT,BPO,3,10,0.0,0.0,0.0
SBERT,BPO,4,5,0.0,0.0,0.0
SBERT,BPO,4,10,0.2,0.1478294909154526,20.0
SBERT,BPO,5,5,0.0,0.0,0.0
SBERT,BPO,5,10,0.0,0.0,0.0
SBERT,BPO,6,5,0.0,0.0,0.0
SBERT,BPO,6,10,0.1,0.07336392209936005,10.0
SBERT-FT,HR,1,5,1.0,1.0,100.0
SBERT-FT,HR,1,10,1.0,1.0,100.0
SBERT-FT,HR,2,5,1.0,1.0,100.0
SBERT-FT,HR,2,10,1.0,1.0,100.0
SBERT-FT,HR,3,5,1.0,1.0,100.0
SBERT-FT,HR,3,10,1.0,1.0,100.0
SBERT-FT,HR,4,5,1.0,1.0,100.0
SBERT-FT,HR,4,10,1.0,1.0,100.0
SBERT-FT,HR,5,5,1.0,1.0,100.0
SBERT-FT,HR,5,10,1.0,1.0,100.0
SBERT-FT,HR,6,5,1.0,1.0,100.0
SBERT-FT,HR,6,10,1.0,1.0,100.0
SBERT-FT,HR,7,5,1.0,1.0,100.0
SBERT-FT,HR,7,10,1.0,1.0,100.0
