Model,Category,JD_Num,K,P@K,NDCG@K,Accuracy
BERT,HEALTHCARE,1,5,0.4,0.5531464700081437,40.0
BERT,HEALTHCARE,1,10,0.4,0.4959389204699464,40.0
BERT,HEALTHCARE,2,5,0.4,0.5531464700081437,40.0
BERT,HEALTHCARE,2,10,0.3,0.43735247915031,30.0
BERT,HEALTHCARE,3,5,0.2,0.3391602052736161,20.0
BERT,HEALTHCARE,3,10,0.4,0.4341754806679218,40.0
BERT,ENGINEERING,1,5,0.2,0.21398626473452756,20.0
BERT,ENGINEERING,1,10,0.2,0.2082936658103318,20.0
BERT,ENGINEERING,2,5,0.4,0.48522855511632257,40.0
BERT,ENGINEERING,2,10,0.5,0.5360735436824436,50.0
BERT,ENGINEERING,3,5,1.0,1.0,100.0
BERT,ENGINEERING,3,10,0.8,0.866947989864271,80.0
BERT,ENGINEERING,4,5,0.2,0.13120507751234178,20.0
BERT,ENGINEERING,4,10,0.2,0.15850703974098102,20.0
BERT,ENGINEERING,5,5,0.2,0.16958010263680806,20.0
BERT,ENGINEERING,5,10,0.3,0.2618080742270754,30.0
BERT,ENGINEERING,6,5,0.4,0.5087403079104241,40.0
BERT,ENGINEERING,6,10,0.5,0.5384109300791362,50.0
BERT,ENGINEERING,7,5,0.2,0.21398626473452756,20.0
BERT,ENGINEERING,7,10,0.2,0.2051166673279436,20.0
BERT,ENGINEERING,8,5,0.6,0.6548086577531307,60.0
BERT,ENGINEERING,8,10,0.3,0.424926013816671,30.0
BERT,ENGINEERING,9,5,0.2,0.3391602052736161,20.0
BERT,ENGINEERING,9,10,0.3,0.35970991185182927,30.0
BERT,ENGINEERING,10,5,0.8,0.830419897363192,80.0
BERT,ENGINEERING,10,10,0.5,0.6051399156371955,50.0
BERT,ACCOUNTANT,1,5,0.2,0.13120507751234178,20.0
BERT,ACCOUNTANT,1,10,0.3,0.22979561007468535,30.0
BERT,ACCOUNTANT,2,5,0.2,0.14606834984270645,20.0
BERT,ACCOUNTANT,2,10,0.1,0.09478836436955078,10.0
BERT,ACCOUNTANT,3,5,0.0,0.0,0.0
BERT,ACCOUNTANT,3,10,0.1,0.07839826897867533,10.0
BERT,DIGITAL-MEDIA,1,5,0.6,0.4912596920895758,60.0
BERT,DIGITAL-MEDIA,1,10,0.6,0.5270672065167423,60.0
BERT,DIGITAL-MEDIA,2,5,0.0,0.0,0.0
BERT,DIGITAL-MEDIA,2,10,0.2,0.13568544539116628,20.0
BERT,DIGITAL-MEDIA,3,5,0.4,0.27727342735504823,40.0
BERT,DIGITAL-MEDIA,3,10,0.3,0.2583297509898471,30.0
BERT,DIGITAL-MEDIA,4,5,0.2,0.13120507751234178,20.0
BERT,DIGITAL-MEDIA,4,10,0.1,0.08514311764162098,10.0
BERT,DIGITAL-MEDIA,5,5,0.0,0.0,0.0
BERT,DIGITAL-MEDIA,5,10,0.1,0.06625422345438903,10.0
BERT,DIGITAL-MEDIA,6,5,0.2,0.21398626473452756,20.0
BERT,DIGITAL-MEDIA,6,10,0.4,0.3529461582433962,40.0
BERT,DIGITAL-MEDIA,7,5,0.2,0.14606834984270645,20.0
BERT,DIGITAL-MEDIA,7,10,0.3,0.2426178552850034,30.0
BERT,DIGITAL-MEDIA,8,5,0.0,0.0,0.0
BERT,DIGITAL-MEDIA,8,10,0.1,0.06362078819895171,10.0
BERT,DIGITAL-MEDIA,9,5,0.4,0.36005461457723403,40.0
BERT,DIGITAL-MEDIA,9,10,0.3,0.29727159644205703,30.0
BERT,CONSULTANT,1,5,0.0,0.0,0.0
BERT,CONSULTANT,1,10,0.0,0.0,0.0
BERT,CONSULTANT,2,5,0.4,0.36005461457723403,40.0
BERT,CONSULTANT,2,10,0.4,0.38148029915855786,40.0
BERT,CONSULTANT,3,5,0.0,0.0,0.0
BERT,CONSULTANT,3,10,0.1,0.06362078819895171,10.0
BERT,CONSULTANT,4,5,0.0,0.0,0.0
BERT,CONSULTANT,4,10,0.0,0.0,0.0
BERT,CONSULTANT,5,5,0.0,0.0,0.0
BERT,CONSULTANT,5,10,0.1,0.06362078819895171,10.0
BERT,CONSULTANT,6,5,0.2,0.3391602052736161,20.0
