Model,JD_Key,Category,K,P@K,R@K,NDCG@K
SBERT,SALES_JD5,SALES,10,0.6,0.05172413793103448,0.6785038377365556
SBERT,SALES_JD6,SALES,5,0.0,0.0,0.0
SBERT,SALES_JD6,SALES,10,0.0,0.0,0.0
SBERT,SALES_JD7,SALES,5,0.2,0.008620689655172414,0.21398626473452756
SBERT,SALES_JD7,SALES,10,0.1,0.008620689655172414,0.13886244387355454
SBERT,SALES_JD8,SALES,5,1.0,0.04310344827586207,1.0
SBERT,SALES_JD8,SALES,10,0.9,0.07758620689655173,0.933745776545611
SBERT,SALES_JD9,SALES,5,0.6,0.02586206896551724,0.7227265726449519
SBERT,SALES_JD9,SALES,10,0.8,0.06896551724137931,0.8200685179888283
SBERT,FINANCE_JD1,FINANCE,5,0.0,0.0,0.0
SBERT,FINANCE_JD1,FINANCE,10,0.2,0.01694915254237288,0.14279514403613733
SBERT,FINANCE_JD2,FINANCE,5,0.2,0.00847457627118644,0.21398626473452756
SBERT,FINANCE_JD2,FINANCE,10,0.3,0.025423728813559324,0.2687374555268953
SBERT,FINANCE_JD3,FINANCE,5,0.4,0.01694915254237288,0.3156484524795145
SBERT,FINANCE_JD3,FINANCE,10,0.6,0.05084745762711865,0.4825387500873843
SBERT,FINANCE_JD4,FINANCE,5,0.8,0.03389830508474576,0.8539316501572937
SBERT,FINANCE_JD4,FINANCE,10,0.8,0.06779661016949153,0.826813366651774
SBERT,FINANCE_JD5,FINANCE,5,0.6,0.025423728813559324,0.7227265726449519
SBERT,FINANCE_JD5,FINANCE,10,0.7,0.059322033898305086,0.741670249010153
SBERT,FINANCE_JD6,FINANCE,5,0.6,0.025423728813559324,0.6843515475204855
SBERT,FINANCE_JD6,FINANCE,10,0.7,0.059322033898305086,0.7167674835027339
SBERT,FINANCE_JD7,FINANCE,5,0.0,0.0,0.0
SBERT,FINANCE_JD7,FINANCE,10,0.1,0.00847457627118644,0.07839826897867533
SBERT,FINANCE_JD8,FINANCE,5,0.2,0.00847457627118644,0.3391602052736161
SBERT,FINANCE_JD8,FINANCE,10,0.2,0.01694915254237288,0.2934556883974402
SBERT,FINANCE_JD9,FINANCE,5,0.6,0.025423728813559324,0.639945385422766
SBERT,FINANCE_JD9,FINANCE,10,0.6,0.05084745762711865,0.6145870006788592
SBERT,FINANCE_JD10,FINANCE,5,0.8,0.03389830508474576,0.6608397947263839
SBERT,FINANCE_JD10,FINANCE,10,0.6,0.05084745762711865,0.5708588662113935
SBERT,BANKING_JD1,BANKING,5,0.4,0.017391304347826087,0.27727342735504823
SBERT,BANKING_JD1,BANKING,10,0.2,0.017391304347826087,0.17993148201117176
SBERT,BANKING_JD2,BANKING,5,0.2,0.008695652173913044,0.13120507751234178
SBERT,BANKING_JD2,BANKING,10,0.4,0.034782608695652174,0.29155904987671
SBERT,BANKING_JD3,BANKING,5,0.4,0.017391304347826087,0.5531464700081437
SBERT,BANKING_JD3,BANKING,10,0.3,0.02608695652173913,0.42838543210841196
SBERT,HEALTHCARE_JD1,HEALTHCARE,5,0.6,0.02608695652173913,0.5147714448836774
SBERT,HEALTHCARE_JD1,HEALTHCARE,10,0.4,0.034782608695652174,0.40348266660099286
SBERT,HEALTHCARE_JD2,HEALTHCARE,5,0.4,0.017391304347826087,0.3156484524795145
SBERT,HEALTHCARE_JD2,HEALTHCARE,10,0.3,0.02608695652173913,0.2684550357175426
SBERT,HEALTHCARE_JD3,HEALTHCARE,5,0.4,0.017391304347826087,0.38356636737133565
SBERT,HEALTHCARE_JD3,HEALTHCARE,10,0.4,0.034782608695652174,0.3787833386759354
SBERT,ENGINEERING_JD1,ENGINEERING,5,0.4,0.01694915254237288,0.5531464700081437
SBERT,ENGINEERING_JD1,ENGINEERING,10,0.6,0.05084745762711865,0.6405914129030109
SBERT,ENGINEERING_JD2,ENGINEERING,5,0.4,0.01694915254237288,0.38356636737133565
SBERT,ENGINEERING_JD2,ENGINEERING,10,0.4,0.03389830508474576,0.39092738420022166
SBERT,ENGINEERING_JD3,ENGINEERING,5,0.8,0.03389830508474576,0.6608397947263839
SBERT,ENGINEERING_JD3,ENGINEERING,10,0.8,0.06779661016949153,0.7015099647232446
SBERT,ENGINEERING_JD4,ENGINEERING,5,0.8,0.03389830508474576,0.830419897363192
SBERT,ENGINEERING_JD4,ENGINEERING,10,0.7,0.059322033898305086,0.7453016244178956
SBERT,ENGINEERING_JD5,ENGINEERING,5,0.8,0.03389830508474576,0.8687949224876582
